TERM,MEANING,PRONOUNCED_AS
CépiDC,centre d'épidémiologie sur les causes médicales de décès,çépi-D-C
DAAP,double anti-agrégation plaquettaire,dappe
DAE,défibrillateur automatisé externe,
DAI,défibrillateur automatique implantable,
DASRI,déchets d'activité de soins à risque infectieux,dassri
DBS,deep brain stimulation (stimulation cérébrale profonde ou thalamique),
DDAC,donneur décédé après arrêt circulatoire,
DDB,dilatation des bronches,
DDCM,date de dernière consultation médicale,
DEC,déshydratation extracellulaire,
DES,diplôme d'études spécialisées (troisième cycle des études médicales en France),D-E-S;dèsse
DEXA,Dual Energy X-ray Absorptiometry (absorptiométrie biphotonique à rayons X),décsa
DFASM,diplôme de formation approfondie en sciences médicales ( à années d’études de médecine en France),D-F-A-S-M;déf-asthme
DFG,débit de filtration glomérulaire,
DFGSM,diplôme de formation générale en sciences médicales ( et années d’études de médecine en France),
DFT,démence frontotemporale ou déficit fonctionnel temporaire,
DGS,direction générale de la santé,
DHBNN,dermohypodermite bactérienne non nécrosante (anciennement érysipèle),
DI,dérivations frontales sur l'électrocardiogramme,D-un
DICV,déficit immunitaire commun variable,
DII,dérivations frontales sur l'électrocardiogramme,D-deux
DIII,dérivations frontales sur l'électrocardiogramme,D-trois
DLCO,diffusion libre du CO,
DLFT,dégénérescence lobaire frontotemporale,
DMARD,traitement de fond antirhumatismal,D-marre;D-marde
DMP,dossier médical partagé,
DMU,dispositif médical à usage unique,
DPI,diagnostic préimplantatoire,
DT1,diabète de type 1,
DT2,diabète de type 2,
DTP,"vaccin combiné contre la diphtérie, le tétanos et la poliomyélite",
DVE,dérivation ventriculaire externe,
DXM,dexaméthasone,
EAL,exploration d'une anomalie lipidique,
ECBC,examen cytobactériologique des crachats,
ECN,épreuves classantes nationales,
ECR,essai contrôlé randomisé,
ECT,"électroconvulsivothérapie",
EDC,épisodes dépressifs caractérisés,
EDM,épisode dépressif majeur,
EDN,examen dématérialisé national,
EFR,épreuve fonctionnelle respiratoire,
EFS,établissement français du sang,
EGFR,récepteur du facteur de croissance épidermique,
EIAS,évènement indésirable associé aux soins ou épine iliaque antérosupérieure,
EMDR,eye movement desensitization and reprocessing (intégration neuro-émotionnelle par les mouvements oculaires),
EMPP,équipe mobile psychiatrie précarité,
EMSP,équipe mobile en soins palliatifs,
ENMG,électroneuromyogramme,
EOGD,endoscopie œso-gastro-duodénale,
EPSM,établissement public de santé mentale,
ERRSPP,équipe régionale ressources en soins palliatifs pédiatriques,
ESA,extrasystole atriale,
ESAT,établissement et service d'accompagnement par le travail (avant 2023: établissement et service d'aide par le travail),E-S-A-T;e-sath;é-sath
ESPT,état de stress post-traumatique,
ETEC,Escherichia coli entérotoxinogène,é-tèk
ETO,échocardiographie transœsophagienne,
ETP,éducation thérapeutique du patient,
ETT,échocardiographie transthoracique,
EUDA,Agence de l'Union européenne sur les drogues,E-U-D-A;heu-da
FCU,frottis cervico-utérin,
FCV,frottis cervicovaginal,
FEVD,fraction d'éjection du ventricule droit,
FEVG,fraction d'éjection du ventricule gauche,
FFI,faisant fonction d'interne,
FLAIR,Fluid-attenuated inversion recovery (atténuation fluidique par inversion-récupération),flaire
FLOTCH,"syndrome dermatologique rare incluant notamment une leuchonychie, des kystes pilaires et/ou à une koïlonychie",flotch
FNAPSY,fédération nationale des associations d'usagers en psychiatrie,fnapsy
FOGD,fibroscopie œsogastroduodénale,
FOP,foramen ovale perméable,foppe
FRCV,facteur de risque cardiovasculaire,
FST,formation spécialisée transversale,
FT,facteur tissulaire,
GABA,acide γ-aminobutyrique (ou gamma-aminobutyrique),ga-ba
GAFA,glaucome aigu par fermeture de l'angle,ga-fa
GB,globule blanc,
GCS,(score de Glasgow),
GDS,gaz du sang,
GEA,gastro-entérite aigüe,
GEM,glomérulonéphrite extramembraneuse,
GFA,glaucome en fermeture d'angle,
GGT,gamma-glutamyl transférase,GGT
GHB,gamma-hydroxybutyrate ou acide gamma-hydroxybutyrique (drogue du viol),
GI,gastro-intestinal,
GIR,groupe iso ressource,
GM-CSF,facteur stimulant les colonies de granulocytes et de macrophages,
GMSI,gammapathie monoclonale de signification indéterminée,
GPAO,glaucome primitif à angle ouvert,
GR,globule rouge,
GREC,"« glace, repos, élévation, contention » (après une entorse de la cheville)",grec
HCQ,hydroxychloroquine,
HCSP,haut conseil de la santé publique,
HDJ,hôpital de jour,
HDT,hospitalisation à la demande d'un tiers,
HEC,hyperhydratation extracellulaire,
HELLP,(syndrome d'hémolyse-hépatocytolyse-thrombopénie),elp
HLH,hémianopsie latérale homonyme,
HNPCC,(cancer colorectal héréditaire sans polypose),
HRP,hématome rétroplacentaire,
HSD,hématome sous-dural,
HSH,homme ayant des rapports sexuels avec des hommes,
HTO,hypotension orthostatique,
HbO2,oxyhémoglobine,
IADE,infirmier(-ière) d'anesthésie diplômé(e) d'État,I-ade
IADL,instrumental activities of daily living (activités instrumentales de la vie quotidienne),
IAO,infirmier d'accueil et orientation (aux urgences) ou insuffisance aortique,
IAS,infection associée aux soins,
IBODE,infirmier de bloc opératoire diplômé d'État,I-bode
ICM,Institut du cerveau et de la moelle épinière,
IDS,idées suicidaires,
IEC,inhibiteur de l'enzyme de conversion,
IFSI,institut de formation en soins infirmiers,if-si
IMC,indice de masse corporelle,
IMG,interruption médicale de grossesse,
INM,intervention non médicamenteuse,
INTI,inhibiteur nucléosidique de la transcriptase inverse,inne-ti
IPA,infirmier en pratique avancée diplômé d'État,
IPDE,infirmière puéricultrice diplômée d'état,
IPDE5,inhibiteur de la phosphodiestérase type 5,
ISR,"isochores, symétriques et réactives (pupilles) ou insuffisance surrénalienne",
ISRS,inhibiteur sélectif de la recapture de la sérotonine,
